talent|side|level|hero_id
Fortune's End Heals/Damages for 80 Per Effect Dispelled|R|15|oracle
+8 Armor False Promise|L|10|oracle
+0.5s Fortune's End Duration|R|10|oracle
-60s Sanity's Eclipse Cooldown|L|25|outworlddestroyer
+1.5% Arcane Orb Damage|R|25|outworlddestroyer
+0.2 Sanity's Eclipse Mana Difference Multiplier|L|20|outworlddestroyer
+450 Health|R|20|outworlddestroyer
+1% of Current Mana as Movement Speed|L|15|outworlddestroyer
+8% Astral Imprisonment Mana Capacity Steal|R|15|outworlddestroyer
+250 Mana|L|10|outworlddestroyer
+100 Astral Imprisonment Cast Range|R|10|outworlddestroyer
-15s Rolling Thunder Cooldown|L|25|pangolier
-4s Swashbuckle Cooldown|R|25|pangolier
+125 Shield Crash Radius and Damage|L|20|pangolier
+2s Rolling Thunder Duration|R|20|pangolier
+80 Shield Crash Barrier Per Hero|L|15|pangolier
+15% Attack Damage as Swashbuckle Damage|R|15|pangolier
+200 Swashbuckle Slash Range|L|10|pangolier
+4 Lucky Shot Armor Reduction|R|10|pangolier
Triple Strike Stifling Dagger|L|25|phantomassassin
+10% Coup de Grace chance|R|25|phantomassassin
+60 Phantom Strike Attack Speed|L|20|phantomassassin
+200 Phantom Strike Cast Range|R|20|phantomassassin
+15% Stifling Dagger Damage|L|15|phantomassassin
+15% Immaterial Evasion|R|15|phantomassassin
-1.5s Stifling Dagger Cooldown|L|10|phantomassassin
+0.5s Phantom Strike Duration|R|10|phantomassassin
+20% Illusory Armaments Damage|L|25|phantomlancer
-4s Doppelganger CD|R|25|phantomlancer
+6% Juxtapose Damage|L|20|phantomlancer
+300 Phantom Rush Range|R|20|phantomlancer
-1s Spirit Lance Cooldown|L|15|phantomlancer
+2.5s Phantom Rush Bonus Agility Duration|R|15|phantomlancer
+10 Phantom Rush Agility|L|10|phantomlancer
+1.25s Spirit Lance Slow Duration|R|10|phantomlancer
+1000 Icarus Dive Cast Range|L|25|phoenix
+2 Supernova Hit Count|R|25|phoenix
+0.5s Supernova Stun Duration|L|20|phoenix
+1.5% Max Health Sun Ray Damage|R|20|phoenix
+20 Health Regen|L|15|phoenix
+20 Fire Spirits Damage Per Second|R|15|phoenix
+0.5% Blinding Sun Miss Chance|L|10|phoenix
+25% Icarus Dive Slow|R|10|phoenix
+67% Pulverize Duration|L|25|primalbeast
Cannot be slowed or rooted during Trample|R|25|primalbeast
+7 Uproar Armor Per Stack|L|20|primalbeast
+20% Trample Attack Multiplier|R|20|primalbeast
Beast dispels himself when activating Uproar|L|15|primalbeast
-5s Trample Cooldown|R|15|primalbeast
+25% Magic Resistance During Trample|L|10|primalbeast
+20 Damage|R|10|primalbeast
+350 Waning Rift Radius/Max Distance|L|25|puck
Dream Coil Pierces Debuff Immunity|R|25|puck
+200 Initial/Break Dream Coil Damage|L|20|puck
-3s Waning Rift Cooldown|R|20|puck
+60 Waning Rift Damage|L|15|puck
-15s Dream Coil Cooldown|R|15|puck
+1.25s Waning Rift Silence Duration|L|10|puck
+40 Illusory Orb Damage|R|10|puck
1.5x Flesh Heap and Meat Shield bonuses|L|25|pudge
1.5x Dismember Damage/Heal|R|25|pudge
-4s Meat Hook Cooldown|L|20|pudge
+0.75s Dismember Duration|R|20|pudge
+150 Meat Hook Damage|L|15|pudge
+8% Spell Lifesteal|R|15|pudge
+10% Rot Slow|L|10|pudge
+5 Armor|R|10|pudge
+1.9 Nether Ward Damage Per Mana|L|25|pugna
+180 Nether Blast Damage|R|25|pugna
+1.5s Decrepify Duration|L|20|pugna
+20% Life Drain Heal|R|20|pugna
+350 Health|L|15|pugna
+30% Decrepify Movement Speed To Allies|R|15|pugna
+2 Nether Ward Health|L|10|pugna
-1s Nether Blast Cooldown|R|10|pugna
+250 Sonic Wave Damage|L|25|queenofpain
-2s Blink Cooldown|R|25|queenofpain
-45s Sonic Wave Cooldown|L|20|queenofpain
+100 Scream of Pain Damage|R|20|queenofpain
+30 Damage|L|15|queenofpain
-1s Shadow Strike Damage Interval|R|15|queenofpain
+7 Strength|L|10|queenofpain
+35 Attack Speed against Shadow Striked units|R|10|queenofpain
Static Link Steals Attack Speed|L|25|razor
Creates A Second Plasma Field Delayed By 0.8s|R|25|razor
-0.1s Eye of the Storm Strike Interval|L|20|razor
+25% Storm Surge Slow and Damage|R|20|razor
+12 Strength|L|15|razor
+5 Static Link Damage Steal|R|15|razor
+10% Spell Lifesteal|L|10|razor
+0.75s Plasma Field Slow Duration|R|10|razor
Tricks of the Trade Applies a Basic Dispel|L|25|riki
-1s Cloak and Dagger Fade Delay|R|25|riki
-4s Blink Strike Replenish Time|L|20|riki
+0.3 Backstab Multiplier|R|20|riki
-3s Smoke Screen Cooldown|L|15|riki
+50 Tricks of the Trade Agility Increase|R|15|riki
+8% Cloak and Dagger Movement Speed|L|10|riki
+50 Smoke Screen Radius|R|10|riki
Escape Act Grants Strong Dispel and Flying|L|25|ringmaster
+100 Wheel Radius and Range|R|25|ringmaster
+75/+300 Tame the Beasts Min/Max Damage|L|20|ringmaster
+1s Impalement Arts Bleed and Slow Duration|R|20|ringmaster
Debuff Immunity While Channeling Tame the Beasts|L|15|ringmaster
Impalement Arts Penetrates One Target|R|15|ringmaster
+200 Escape Act Cast Range|L|10|ringmaster
+75 Tame the Beasts Radius|R|10|ringmaster
+40% Spell Amp For Stolen Spells|L|25|rubick
+400 Telekinesis Land Distance|R|25|rubick
-5s Telekinesis Cooldown|L|20|rubick
-5s Fade Bolt Cooldown|R|20|rubick
+0.5s Telekinesis Lift/Stun Duration|L|15|rubick
-25% Stolen Spells Cooldown|R|15|rubick
+0.25% Might And Magus Damage/Resistance|L|10|rubick
+150 Telekinesis Landing Damage|R|10|rubick
35% Sand Storm Slow and Blind|L|25|sandking
+10 Epicenter Pulses|R|25|sandking
+100/12 Base/Incremental Radius of Epicenter|L|20|sandking
-2s Burrowstrike Cooldown|R|20|sandking
+150 Burrowstrike Cast Range|L|15|sandking
+20 Sand Storm Damage Per Second|R|15|sandking
+100 Caustic Finale Radius|L|10|sandking
+8% Stinger Slow|R|10|sandking
2 Charges of Disruption|L|25|shadowdemon
-30s Demonic Purge Cooldown|R|25|shadowdemon
+150 Demonic Purge Damage|L|20|shadowdemon
+15% Disseminate Shared Damage|R|20|shadowdemon
-1s Shadow Poison Cooldown|L|15|shadowdemon
+25 Movement Speed|R|15|shadowdemon
+10 Strength|L|10|shadowdemon
+15% Shadow Poison Damage|R|10|shadowdemon
Shadowraze Applies Attack Damage|L|25|shadowfiend
Feast of Souls Grants +30% Cast Speed|R|25|shadowfiend
+0.2s Requiem Fear per line|L|20|shadowfiend
+2 Damage Per Soul|R|20|shadowfiend
+120 Shadowraze Damage|L|15|shadowfiend
Presence Aura Affects Buildings|R|15|shadowfiend
+30 Feast of Souls Attack Speed|L|10|shadowfiend
+30 Shadowraze Stack Damage|R|10|shadowfiend
+1 Ward Attack Targets|L|25|shadowshaman
+250 Ether Shock Damage|R|25|shadowshaman
+50% Serpent Wards Max HP|L|20|shadowshaman
+1.5s Shackles Duration|R|20|shadowshaman
Hex Breaks|L|15|shadowshaman
+160 Serpent Wards Attack Range|R|15|shadowshaman
+1.75 Mana Regen|L|10|shadowshaman
+170 Shackles Total Damage|R|10|shadowshaman
2 Arcane Curse charges|L|25|silencer
+25% Glaives of Wisdom Damage|R|25|silencer
250 AoE Last Word|L|20|silencer
1 Glaives of Wisdom Bounce|R|20|silencer
+2s/+1s Arcane Curse Base/Penalty Duration|L|15|silencer
-20s Global Silence Cooldown|R|15|silencer
+20 Attack Speed|L|10|silencer
+0.5 Arcane Curse Penalty Multiplier|R|10|silencer
+400 Mystic Flare Damage|L|25|skywrathmage
Arcane Bolt Pierces Spell Immunity|R|25|skywrathmage
+10% Ancient Seal Increased Magic Damage|L|20|skywrathmage
Global Concussive Shot|R|20|skywrathmage
+15% Concussive Shot Slow|L|15|skywrathmage
-7s Ancient Seal Cooldown|R|15|skywrathmage
+0.5x Arcane Bolt Int Multiplier|L|10|skywrathmage
+1.5 Mana Regen|R|10|skywrathmage
Corrosive Haze Undispellable|L|25|slardar
-3s Slithereen Crush Cooldown|R|25|slardar
-4 Corrosive Haze Armor|L|20|slardar
+125 Slithereen Crush Damage|R|20|slardar
+40 Bash of the Deep Damage|L|15|slardar
+300 Health|R|15|slardar
+12 Seaborn Sentinel Bonus Damage|L|10|slardar
+2s Guardian Sprint Duration|R|10|slardar
+35s Essence Shift Duration|L|25|slark
+1.25s Shadow Dance Duration|R|25|slark
+100 Shadow Dance Attack Speed|L|20|slark
+1 Agility gain/stolen per Essence Shift Stack|R|20|slark
+50 Barracuda Regen|L|15|slark
+70 Dark Pact Damage|R|15|slark
+0.5s Pounce Leash|L|10|slark
-0.5s Dark Pact Cooldown|R|10|slark
+8 Mortimer Kisses Launched|L|25|snapfire
+60% Lil' Shredder Attack Damage|R|25|snapfire
+60 Mortimer Kisses Impact Damage|L|20|snapfire
+2 Lil' Shredder Targets|R|20|snapfire
-4s Firesnap Cookie Cooldown|L|15|snapfire
+1 Lil' Shredder attacks|R|15|snapfire
+25 Mortimer Kisses Debuff DPS|L|10|snapfire
+70 Scatterblast Damage|R|10|snapfire
+50 Max Headshot Knockback Distance|L|25|sniper
-30s Shrapnel Charge Restore Time|R|25|sniper
+30% Shrapnel Damage|L|20|sniper
+2s Take Aim Duration|R|20|sniper
+150 Assassinate Damage|L|15|sniper
+45 Attack Speed During Take Aim|R|15|sniper
+30 Headshot Damage|L|10|sniper
+55 Take Aim Attack Range Bonus|R|10|sniper
+5% Dispersion|L|25|spectre
+25% All Spectre Illusion Damage|R|25|spectre
+12% Spectral Dagger Slow/Bonus|L|20|spectre
+350 Health|R|20|spectre
+80 Spectral Dagger Damage|L|15|spectre
+15 Desolate Damage|R|15|spectre
+5 Health Regen|L|10|spectre
-4s Spectral Dagger Cooldown|R|10|spectre
-4s Charge of Darkness Cooldown|L|25|spiritbreaker
+20% Greater Bash Damage|R|25|spiritbreaker
Bulldoze 400 All Damage Barrier|L|20|spiritbreaker
-0.3s Greater Bash Cooldown|R|20|spiritbreaker
+45 Damage|L|15|spiritbreaker
-3s Bulldoze Cooldown|R|15|spiritbreaker
+4 Armor|L|10|spiritbreaker
+500 Night Vision|R|10|spiritbreaker
450 Distance Auto Remnant in Ball Lightning|L|25|stormspirit
2x Overload Attack Bounce|R|25|stormspirit
-1.25s Static Remnant Cooldown|L|20|stormspirit
+0.2s Electric Vortex Duration|R|20|stormspirit
+60 Static Remnant Damage|L|15|stormspirit
+250 Health|R|15|stormspirit
+1.5 Mana Regen|L|10|stormspirit
-20 Overload Attack/Movement Speed Slow|R|10|stormspirit
+1s Storm Hammer Stun Duration|L|25|sven
+50% God's Strength Damage|R|25|sven
+8 Warcry Armor|L|20|sven
+20% God's Strength Slow Resistance|R|20|sven
+25% Great Cleave Damage|L|15|sven
-12s God's Strength Cooldown|R|15|sven
+10% Vanquisher Bonus Damage|L|10|sven
+5s Warcry Duration|R|10|sven
-0.8s Proximity Mines Activation Delay|L|25|techies
+252 Damage|R|25|techies
-15s Blast Off! Cooldown|L|20|techies
+125 Sticky Bomb Latch/Explosion Radius|R|20|techies
+3 Mana Regen|L|15|techies
+200 Blast Off! Damage|R|15|techies
-3s Proximity Mines Cooldown|L|10|techies
+20% Magic Resistance|R|10|techies
+4 Refraction Instances|L|25|templarassassin
1s Meld Hit Bash|R|25|templarassassin
+40 Refraction Damage|L|20|templarassassin
Refraction Dispels|R|20|templarassassin
+100 Psi Blades Attack and Split Range|L|15|templarassassin
Refraction Can Be Cast While Disabled|R|15|templarassassin
+5% Psionic Trap Slow|L|10|templarassassin
+2.5s Meld Debuff Duration|R|10|templarassassin
+30s Metamorphosis Duration|L|25|terrorblade
-30s Sunder Cooldown|R|25|terrorblade
+10s Conjure Image Duration|L|20|terrorblade
+10 All Stats|R|20|terrorblade
+10% Reflection Slow/Damage|L|15|terrorblade
-20s Metamorphosis Cooldown|R|15|terrorblade
-2s Conjure Image Cooldown|L|10|terrorblade
+1s Reflection Duration|R|10|terrorblade
50% chance of Anchor Smash on attack|L|25|tidehunter
+0.8s Ravage Stun Duration|R|25|tidehunter
-4 Gush Armor|L|20|tidehunter
Anchor Smash affects buildings|R|20|tidehunter
+30% Anchor Smash Damage Reduction|L|15|tidehunter
+100 Gush Damage|R|15|tidehunter
+15% Gush Slow|L|10|tidehunter
+40 Anchor Smash Damage|R|10|tidehunter
+75% Timber Chain Range/Projectile Speed|L|25|timbersaw
+75 Whirling Death Tree Bonus Damage|R|25|timbersaw
+5% Chakram Slow|L|20|timbersaw
Exposure Therapy Heals for 7 HP Per Tree Destroyed|R|20|timbersaw
+6 Max / +1 Hero Attack Reactive Armor Stacks|L|15|timbersaw
+2.5% Whirling Death Stat Loss|R|15|timbersaw
+1.5 Mana Regen|L|10|timbersaw
+0.2 Reactive Armor Regeneration Per Stack|R|10|timbersaw
+10s Defense Matrix Duration|L|25|tinker
200 AoE Laser|R|25|tinker
-{s:bonus_AbilityChannelTime}s Keen Conveyance Channel Time|L|20|tinker
+10% Defense Matrix Status Resistance|R|20|tinker
+50 Laser Damage|L|15|tinker
+60 Defense Matrix Damage Barrier|R|15|tinker
+8% Manacost/Manaloss Reduction|L|10|tinker
+1s March of the Machines Duration|R|10|tinker
2 Toss Charges|L|25|tiny
-8s Avalanche Cooldown|R|25|tiny
Toss Requires No Target|L|20|tiny
+60 Tree Grab Base Damage|R|20|tiny
+70 Avalanche Damage|L|15|tiny
-8% Grow Attack Speed Reduction|R|15|tiny
+8 Strength|L|10|tiny
+200 Avalanche Cast Range|R|10|tiny
450 AoE Living Armor|L|25|treantprotector
-35s Overgrowth Cooldown|R|25|treantprotector
+45 Leech Seed Damage/Heal|L|20|treantprotector
+8 Living Armor Bonus Armor|R|20|treantprotector
+25 Nature's Grasp Damage|L|15|treantprotector
+18% Leech Seed Movement Slow|R|15|treantprotector
+2.5% Nature's Guise Movement Speed|L|10|treantprotector
+2 Living Armor Heal Per Second|R|10|treantprotector
Battle Trance Strong Dispels|L|25|trollwarlord
Whirling Axes Pierce Magic Immunity|R|25|trollwarlord
+9 Berserker's Rage Armor|L|20|trollwarlord
+1.5s Battle Trance Duration|R|20|trollwarlord
+100 Whirling Axes Damage|L|15|trollwarlord
+5 Fervor Attack Speed|R|15|trollwarlord
+25 Berserker's Rage Movement Speed|L|10|trollwarlord
+2.5s Whirling Axes Debuff Duration|R|10|trollwarlord
-8s Snowball Cooldown|L|25|tusk
12% Chance Walrus Punch|R|25|tusk
+75% Walrus Punch Crit|L|20|tusk
-6s Ice Shards Cooldown|R|20|tusk
+120 Snowball Damage|L|15|tusk
+325 Health|R|15|tusk
+0.75s Walrus Punch Stun Duration|L|10|tusk
+2s Tag Team Duration|R|10|tusk
Fiend's Gates deals 100 DPS in a 700 radius|L|25|underlord
+0.4s Pit of Malice Root|R|25|underlord
+10% Atrophy Aura Attack Damage Reduction/Gain|L|20|underlord
+0.6% Firestorm Burn Damage|R|20|underlord
-3s Firestorm Cooldown|L|15|underlord
Pit of Malice Slows by 25%|R|15|underlord
+15s Atrophy Aura Duration|L|10|underlord
+5% Invading Force Movement Bonus/Damage Reduction|R|10|underlord
+6 Tombstone Attacks to Destroy|L|25|undying
+50% Flesh Golem Strength Bonus|R|25|undying
-2s Decay Cooldown|L|20|undying
Tombstone On Death|R|20|undying
+10 Soul Rip Damage/Heal|L|15|undying
+20 Zombie Damage|R|15|undying
-15s Tombstone Cooldown|L|10|undying
+40 Decay Damage|R|10|undying
+3 Overpower Attacks|L|25|ursa
Earthshock has 2 Charges|R|25|ursa
Earthshock Applies 2 Fury Swipes|L|20|ursa
+400 Earthshock Radius|R|20|ursa
+20% Enrage Status Resistance|L|15|ursa
+5 Fury Swipes Damage|R|15|ursa
+1.75 Mana Regen|L|10|ursa
+12s Fury Swipes Reset Time|R|10|ursa
-18s Nether Swap Cooldown|L|25|vengefulspirit
+16% Vengeance Aura Base Damage Bonus|R|25|vengefulspirit
Wave Of Terror Steals 20% Of Reduced Damage And Armor|L|20|vengefulspirit
-2s Magic Missile Cooldown|R|20|vengefulspirit
+0.3s Magic Missile Stun Duration|L|15|vengefulspirit
-4 Wave of Terror Armor|R|15|vengefulspirit
+100 Magic Missile Cast Range|L|10|vengefulspirit
+150 Nether Swap Enemy Damage|R|10|vengefulspirit
2.5x Plague Ward HP/Damage|L|25|venomancer
Noxious Plague Aura reduces 200 Attack Speed|R|25|venomancer
Gale Creates Plague Wards|L|20|venomancer
+1% Noxious Plague Max HP Damage|R|20|venomancer
+5% Poison Sting Slow|L|15|venomancer
-1s Plague Ward Cooldown|R|15|venomancer
15% Poison Sting Health Regen Reduction|L|10|venomancer
-5s Venomous Gale CD|R|10|venomancer
-50% Viper Strike manacost/cooldown|L|25|viper
Nethertoxin Radius increases by 25 every 0.5s|R|25|viper
+0.2 Predator Damage Per Missing Health|L|20|viper
+80 Viper Strike DPS|R|20|viper
+15% Poison Attack slow/damage|L|15|viper
+40 Nethertoxin Min/Max Damage|R|15|viper
+20 Corrosive Skin Damage Per Second|L|10|viper
+1s Viper Strike Duration|R|10|viper
+1 Familiar|L|25|visage
Gravekeeper's Cloak  grants +10 Armor|R|25|visage
+1 Armor Corruption to Visage and Familiars|L|20|visage
+25 Soul Assumption Damage Per Charge|R|20|visage
Soul Assumption Hits 3 Targets|L|15|visage
+2s Grave Chill Duration|R|15|visage
+6 Visage and Familiars Attack Damage|L|10|visage
+4 Lurker Max Stacks|R|10|visage
Dissimilate Roots for 2s|L|25|voidspirit
140% Astral Step Crit|R|25|voidspirit
-4s Astral Step Charge Restore Time|L|20|voidspirit
Outer Dissimilate Ring|R|20|voidspirit
+70 Resonant Pulse Damage|L|15|voidspirit
Remnant Provides 475 True Sight|R|15|voidspirit
+50 Aether Remnant Damage|L|10|voidspirit
+1.75 Mana Regen|R|10|voidspirit
80% Magic Resistance for Chaotic Offering Golems|L|25|warlock
+20 Chaotic Offering Golems Armor|R|25|warlock
+40 Upheaval Damage|L|20|warlock
Summons a Golem on death|R|20|warlock
+150 Shadow Word AoE|L|15|warlock
+10 Upheaval Attack Speed per second on Allies|R|15|warlock
+50 Upheaval Radius|L|10|warlock
+4% Fatal Bonds Damage|R|10|warlock
+1 Geminate Attack|L|25|weaver
-3s Shukuchi Cooldown|R|25|weaver
+0.5 Swarm Armor Reduction|L|20|weaver
+70 Bonus Damage On Geminate|R|20|weaver
+2 Swarm Attacks to Kill|L|15|weaver
+20 Mana Break|R|15|weaver
+7 Strength|L|10|weaver
+60 Shukuchi Damage|R|10|weaver
Focus Fire Kills Advance Cooldown by 18s|L|25|windranger
Windrun Cannot Be Dispelled|R|25|windranger
-10% Focus Fire Damage Reduction|L|20|windranger
+0.75s Shackleshot Duration|R|20|windranger
-15% Powershot Reduction|L|15|windranger
-2s Windrun Cooldown|R|15|windranger
+25 Easy Breezy Min/Max Movespeed|L|10|windranger
+1s Powershot Slow Duration|R|10|windranger
Splinter Blast 1.5s Stun|L|25|winterwyvern
+55 Winter's Curse Attack Speed |R|25|winterwyvern
+100 Splinter Blast Damage|L|20|winterwyvern
+17% Arctic Burn Slow|R|20|winterwyvern
+400 Splinter Blast Shatter Radius|L|15|winterwyvern
+3s Arctic Burn Debuff Duration|R|15|winterwyvern
+30 Damage|L|10|winterwyvern
+25 HP/s Cold Embrace Heal|R|10|winterwyvern
+45 Death Ward Damage|L|25|witchdoctor
+8s Maledict Duration|R|25|witchdoctor
+1% Target Max Health Voodoo Restoration Heal|L|20|witchdoctor
+75 Death Ward Attack Range|R|20|witchdoctor
+125 Maledict AoE|L|15|witchdoctor
+2 Cask Bounces|R|15|witchdoctor
+200 Health|L|10|witchdoctor
-25% Voodoo Restoration Mana Per Second|R|10|witchdoctor
Reincarnation Casts Wraithfire Blast|L|25|wraithking
-2s Mortal Strike Cooldown|R|25|wraithking
+60 Attack Speed|L|20|wraithking
+400 Health|R|20|wraithking
+1s Wraithfire Blast Stun Duration|L|15|wraithking
+10% Vampiric Spirit Lifesteal|R|15|wraithking
Reincarnation Casts Wraithfire Blast|L|10|wraithking
-2s Mortal Strike Cooldown|R|10|wraithking
+1% Static Field Damage|L|25|zeus
325 AoE Lightning Bolt|R|25|zeus
+0.5s Lightning Bolt Ministun|L|20|zeus
+60 Arc Lightning Damage|R|20|zeus
+1 Heavenly Jump Target|L|15|zeus
+75 Thundergod's Wrath Damage|R|15|zeus
+200 Health|L|10|zeus
+1.75 Mana Regen|R|10|zeus
